title,label
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,science
Tipping Point for Planet Earth: How Close Are We to the Edge?,science
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",science
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,science
The Origin of Species,science
The Grand Design,science
Peak: Secrets from the New Science of Expertise,science
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",science
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",science
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",science
Seven Brief Lessons on Physics,science
The Selfish Gene,science
Sharp Objects,mystery
"In a Dark, Dark Wood",mystery
The Past Never Ends,mystery
A Murder in Time,mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),mystery
The Last Mile (Amos Decker #2),mystery
That Darkness (Gardiner and Renner #1),mystery
Tastes Like Fear (DI Marnie Rome #3),mystery
A Time of Torment (Charlie Parker #14),mystery
A Study in Scarlet (Sherlock Holmes #1),mystery
Poisonous (Max Revere Novels #3),mystery
Murder at the 42nd Street Library (Raymond Ambler #1),mystery
Most Wanted,mystery
Hide Away (Eve Duncan #20),mystery
Boar Island (Anna Pigeon #19),mystery
The Widow,mystery
Playing with Fire,mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),mystery
Delivering the Truth (Quaker Midwife Mystery #1),mystery
A Light in the Attic,poetry
The Black Maria,poetry
Shakespeare's Sonnets,poetry
Olio,poetry
You can't bury them all: Poems,poetry
Slow States of Collapse: Poems,poetry
Untitled Collection: Sabbath Poems 2014,poetry
Poems That Make Grown Women Cry,poetry
Night Sky with Exit Wounds,poetry
salt.,poetry
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",poetry
Out of Print: City Lights Spotlight No. 14,poetry
Les Fleurs du Mal,poetry
Howl and Other Poems,poetry
Leave This Song Behind: Teen Poetry at Its Best,poetry
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),poetry
The Crossover,poetry
Booked,poetry
Twenty Love Poems and a Song of Despair,poetry
Sharp Objects,mystery
"In a Dark, Dark Wood",mystery
The Past Never Ends,mystery
A Murder in Time,mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),mystery
The Last Mile (Amos Decker #2),mystery
That Darkness (Gardiner and Renner #1),mystery
Tastes Like Fear (DI Marnie Rome #3),mystery
A Time of Torment (Charlie Parker #14),mystery
A Study in Scarlet (Sherlock Holmes #1),mystery
Poisonous (Max Revere Novels #3),mystery
Murder at the 42nd Street Library (Raymond Ambler #1),mystery
Most Wanted,mystery
Hide Away (Eve Duncan #20),mystery
Boar Island (Anna Pigeon #19),mystery
The Widow,mystery
Playing with Fire,mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),mystery
Delivering the Truth (Quaker Midwife Mystery #1),mystery
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,science
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,science
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,science
