title,label
the most perfect thing: inside (and outside) a bird's egg,science
immunity: how elie metchnikoff changed the course of modern medicine,science
sorting the beef from the bull: the science of food fraud forensics,science
tipping point for planet earth: how close are we to the edge?,science
"the fabric of the cosmos: space, time, and the texture of reality",science
diary of a citizen scientist: chasing tiger beetles and other new ways of engaging the world,science
the origin of species,science
the grand design,science
peak: secrets from the new science of expertise,science
"the elegant universe: superstrings, hidden dimensions, and the quest for the ultimate theory",science
"the disappearing spoon: and other true tales of madness, love, and the history of the world from the periodic table of the elements",science
"surely you're joking, mr. feynman!: adventures of a curious character",science
seven brief lessons on physics,science
the selfish gene,science
sharp objects,mystery
"in a dark, dark wood",mystery
the past never ends,mystery
a murder in time,mystery
the murder of roger ackroyd (hercule poirot #4),mystery
the last mile (amos decker #2),mystery
that darkness (gardiner and renner #1),mystery
tastes like fear (di marnie rome #3),mystery
a time of torment (charlie parker #14),mystery
a study in scarlet (sherlock holmes #1),mystery
poisonous (max revere novels #3),mystery
murder at the 42nd street library (raymond ambler #1),mystery
most wanted,mystery
hide away (eve duncan #20),mystery
boar island (anna pigeon #19),mystery
the widow,mystery
playing with fire,mystery
what happened on beale street (secrets of the south mysteries #2),mystery
the bachelor girl's guide to murder (herringford and watts mysteries #1),mystery
delivering the truth (quaker midwife mystery #1),mystery
sharp objects,mystery
"in a dark, dark wood",mystery
the past never ends,mystery
a murder in time,mystery
the murder of roger ackroyd (hercule poirot #4),mystery
the last mile (amos decker #2),mystery
that darkness (gardiner and renner #1),mystery
tastes like fear (di marnie rome #3),mystery
a time of torment (charlie parker #14),mystery
a study in scarlet (sherlock holmes #1),mystery
poisonous (max revere novels #3),mystery
murder at the 42nd street library (raymond ambler #1),mystery
most wanted,mystery
hide away (eve duncan #20),mystery
boar island (anna pigeon #19),mystery
the widow,mystery
playing with fire,mystery
what happened on beale street (secrets of the south mysteries #2),mystery
the bachelor girl's guide to murder (herringford and watts mysteries #1),mystery
delivering the truth (quaker midwife mystery #1),mystery
a light in the attic,poetry
the black maria,poetry
shakespeare's sonnets,poetry
olio,poetry
you can't bury them all: poems,poetry
slow states of collapse: poems,poetry
untitled collection: sabbath poems 2014,poetry
poems that make grown women cry,poetry
night sky with exit wounds,poetry
salt.,poetry
"quarter life poetry: poems for the young, broke and hangry",poetry
out of print: city lights spotlight no. 14,poetry
les fleurs du mal,poetry
howl and other poems,poetry
leave this song behind: teen poetry at its best,poetry
the collected poems of w.b. yeats (the collected works of w.b. yeats #1),poetry
the crossover,poetry
booked,poetry
twenty love poems and a song of despair,poetry
a light in the attic,poetry
the black maria,poetry
shakespeare's sonnets,poetry
olio,poetry
you can't bury them all: poems,poetry
slow states of collapse: poems,poetry
untitled collection: sabbath poems 2014,poetry
poems that make grown women cry,poetry
night sky with exit wounds,poetry
salt.,poetry
"quarter life poetry: poems for the young, broke and hangry",poetry
out of print: city lights spotlight no. 14,poetry
les fleurs du mal,poetry
howl and other poems,poetry
leave this song behind: teen poetry at its best,poetry
the collected poems of w.b. yeats (the collected works of w.b. yeats #1),poetry
the crossover,poetry
booked,poetry
twenty love poems and a song of despair,poetry
the most perfect thing: inside (and outside) a bird's egg,science
immunity: how elie metchnikoff changed the course of modern medicine,science
sorting the beef from the bull: the science of food fraud forensics,science
tipping point for planet earth: how close are we to the edge?,science
